codigo,secao,tematica,pergunta,respostas
4.13,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,Você já sofreu algum acidente durante a pesca?,"Nunca; Sim, uma vez; Sim, duas vezes; Sim, três vezes ou mais"
4.13.1,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,"Em caso de acidente, você costuma interromper o trabalho?",Sim; Não
4.13.2,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,"Qual(is) tipo(s) de acidente você já sofreu? (marcar mais de um, se necessário)","Corte com faca ou anzol nas mãos, pés ou outra parte do corpo; Queda no barco ou na maré; Afogamento ou quase afogamento; torções; fratura de ossos do corpo; picada/mordida/ferroada de peixe ou crustáceo; amputação de alguma parte do corpo; esmagamento de alguma parte do corpo; perfuração em alguma parte do corpo; Outro [texto]"
4.13.3,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,Algum desses acidentes resultou em afastamento do trabalho?,"Não; Sim, até 7 dias; Sim, mais de 7 e até 15 dias; Sim, mais de 15 dias"
4.13.4,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,Algum desses acidentes deixou sequelas?,"Não; Sim, mas sem redução ou perda da capacidade de trabalho; Sim, com redução da capacidade de trabalho, não conseguindo trabalhar mais como antes, mas se mantendo na mesma atividade; Sim, com perda da capacidade de trabalho, não conseguindo trabalhar na atividade que exercia antes ao acidente"
4.14,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,"Você já sentiu estresse, ansiedade ou medo extremo relacionado às condições de pesca e as mudanças bruscas de temperaturas (como risco de enchente, secas, redução do número de pescado) ou desastres ambientais (como poluição dos mares, rios e mangues)",Nunca; Raramente; Às vezes; Frequentemente; Sempre; Medidas de proteção (preventivas e protetivas)
4.15,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,Você sabe nadar?,Sim; Não
4.16,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,Você utiliza alguma proteção durante a atividade de pesca? ( ) Sim,Não
4.16.1,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,"Se sim, quais? (múltiplas respostas)",camisa com manga comprida (com ou sem proteção UV); calças compridas; sapatos fechados; repelente; repelente caseiro; óleo vegetal ou outros tipos de óleo não derivados do petróleo; óleo diesel/querosene; luvas; chapéu ou boné; óculos escuros; pano amarrado na cabeça; filtro solar; hidratante/creme; óleo bronzeador; protetor de ouvido (concha ou auricular); lona; guarda-chuva/sombrinha; capa de chuva
4.17,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,O que você utiliza para se proteger de picadas de insetos durante o trabalho?,roupas que cubram os braços e pernas; sapatos fechados; luvas; repelente; repelente caseiro; óleo vegetal ou outros tipos de óleo não derivados do petróleo; óleo diesel/querosene; chapéu ou boné; pano amarrado na cabeça; não uso nada; não se aplica (não me exponho a insetos durante o trabalho)
4.18,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,Quem fornece os Equipamentos de Proteção Individual (EPIs) que você utiliza? ( ) eu que compro ou fabrico ( ) associação/colônia de pescadores ( ) projeto público ou ONG ( ) não utilizo,
4.19,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,Quais embarcações você utiliza?,não se aplica ( ) canoa; jangada; baiteira; motor propulsão _______; _______
4.20,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,A embarcação que você utiliza possui: (múltiplas escolhas),"não se aplica ( ) estabilidade_____,; iluminação artificial; motor com proteção; cobertura contra chuvas/sol"
4.21,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,"Existem alguns procedimentos combinados entre os pescadores para evitar acidentes (ex.: trabalho em dupla, comunicação prévia, horários seguros)?",Sim; Não
4.22,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,"Há disponibilidade de materiais básicos de primeiros socorros durante a pescaria (ex.: água quente, curativos, antissépticos)? ( ) Sim",Não
4.23,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,Você faz pausas durante a jornada para descanso físico? ( ) Não,"Às vezes; Sim, a cada 2 horas de trabalho; Sim, a cada 4 horas de trabalho; Sim, a cada 6 horas de trabalho; Sim, após 8 horas de trabalho"
4.24,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,Você já adaptou ferramentas ou equipamentos para melhorar a produtividade e reduzir esforço físico? ( ) Não,Sim
4.25,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,Você já participou de treinamentos ou cursos sobre saúde e segurança no trabalho na pesca artesanal? ( ) Não,Sim
4.25.1,SEÇÃO 4 - PERCEPÇÃO DE RISCOS RELACIONADOS AO TRABALHO E MEDIDAS DE PROTEÇÃO ADOTADAS,Saúde e segurança,Quando foi o último treinamento?,menos de 1 ano; de 1 a 2 anos; há mais de 2 anos

